x	y_obs	y_bkg
34.139	1149	1139.432
34.156	1175	1139.302
34.173	1152	1139.176
34.19	1130	1139.055
34.207	1148	1138.939
34.224	1189	1138.827
34.241	1178	1138.719
34.258	1147	1138.614
34.275	1140	1138.514
34.292	1169	1138.417
34.309	1209	1138.323
34.326	1177	1138.233
34.343	1157	1138.145
34.36	1147	1138.061
34.377	1157	1137.979
34.394	1178	1137.9
34.411	1140	1137.823
34.428	1166	1137.749
34.445	1161	1137.677
34.462	1200	1137.608
34.479	1197	1137.541
34.496	1176	1137.475
34.513	1114	1137.412
34.53	1178	1137.351
34.547	1190	1137.291
34.564	1183	1137.233
34.581	1242	1137.177
34.598	1218	1137.123
34.615	1153	1137.07
34.632	1162	1137.019
34.649	1138	1136.969
34.666	1172	1136.921
34.683	1162	1136.874
34.7	1114	1136.829
34.717	1117	1136.785
34.734	1158	1136.742
34.751	1149	1136.7
34.768	1157	1136.66
34.785	1141	1136.62
34.802	1164	1136.582
34.819	1158	1136.545
34.836	1148	1136.509
34.853	1096	1136.474
34.87	1159	1136.44
34.887	1167	1136.407
34.904	1060	1136.375
34.921	1147	1136.344
34.938	1149	1136.314
34.955	1131	1136.285
34.972	1138	1136.257
34.989	1152	1136.23
35.006	1157	1136.203
35.023	1132	1136.232
35.04	1135	1136.207
35.057	1158	1136.183
35.074	1207	1136.16
35.091	1186	1136.138
35.108	1127	1136.116
35.125	1142	1136.182
35.142	1172	1136.163
35.159	1142	1136.144
35.176	1136	1136.127
35.193	1167	1136.11
35.21	1190	1136.094
35.227	1161	1136.078
35.244	1168	1136.064
35.261	1155	1136.05
35.278	1150	1136.037
35.295	1167	1136.024
35.312	1184	1136.013
35.329	1135	1136.001
35.346	1137	1135.991
35.363	1115	1135.981
35.38	1098	1135.972
35.397	1152	1135.964
35.414	1140	1135.957
35.431	1143	1135.95
35.448	1092	1135.944
35.465	1145	1135.938
35.482	1186	1135.933
35.499	1170	1135.929
35.516	1167	1135.926
35.533	1145	1135.923
35.55	1176	1135.921
35.567	1174	1135.92
35.584	1162	1135.919
35.601	1160	1135.919
35.618	1193	1135.92
35.635	1181	1135.922
35.652	1079	1135.924
35.669	1190	1135.927
35.686	1170	1135.931
