x	y_obs
48.793	1102
48.81	1119
48.827	1187
48.844	1181
48.861	1129
48.878	1142
48.895	1185
48.912	1142
48.929	1188
48.946	1195
48.963	1166
48.98	1185
48.997	1194
49.014	1181
49.031	1154
49.048	1182
49.065	1173
49.082	1193
49.099	1215
49.116	1230
49.133	1222
49.15	1256
49.167	1248
49.184	1261
49.201	1230
49.218	1307
49.235	1325
49.252	1393
49.269	1362
49.286	1385
49.303	1497
49.32	1575
49.337	1602
49.354	1688
49.371	1733
49.388	1763
49.405	1920
49.422	2088
49.439	2129
49.456	2453
49.473	2782
49.49	3039
49.507	3484
49.524	4233
49.541	4953
49.558	5742
49.575	6130
49.592	6134
49.609	6025
49.626	5609
49.643	5171
49.66	4746
49.677	4521
49.694	4405
49.711	4088
49.728	3650
49.745	3104
49.762	2664
49.779	2314
49.796	2115
49.813	1900
49.83	1745
49.847	1644
49.864	1505
